24187;Алакуртти, ;Алакуртти;null;;0.00;;
24198;Алешково, ;Алешково;null;;0.00;;
24230;Алябьевский, ;Алябьевский;null;;0.00;;
24134;Арбаж, ;Арбаж;null;;0.00;;
24225;Афимьино, ;Афимьино;null;;0.00;;
24218;Башмаково, ;Башмаково;null;;0.00;;
24185;Бежецк, ;Бежецк;null;;0.00;;
24179;Бисерть, ;Бисерть;null;;0.00;;
24223;Большетархово, ;Большетархово;null;;0.00;;
24153;Валдай, ;Валдай;null;;0.00;;
24151;Демянск, ;Демянск;null;;0.00;;
24170;Железноводск, ;Железноводск;null;;0.00;;
24174;Забойский, ;Забойский;null;;0.00;;
24196;Запрудное, ;Запрудное;null;;0.00;;
24139;Каменка, ;Каменка;null;;0.00;;
24168;Касколовка, ;Касколовка;null;;0.00;;
24203;Катайга, ;Катайга;null;;0.00;;
24201;Кедровый, ;Кедровый;null;;0.00;;
24227;Киверичи, ;Киверичи;null;;0.00;;
24228;Ковдор, ;Ковдор;null;;0.00;;
24132;Константиновка, ;Константиновка;null;;0.00;;
33577;Кордай, ;Кордай;null;;0.00;Korday;080400
24175;Крутиха, ;Крутиха;null;;0.00;;000041
24169;Лесогорск, ;Лесогорск;null;;0.00;;
24194;Лесозаводский, ;Лесозаводский;null;;0.00;;
24200;Лянтор, ;Лянтор;null;;0.00;;
24156;Малая вишера, ;Малая вишера;null;;0.00;;
24177;Микулино, ;Микулино;null;;0.00;;
24192;Морки, ;Морки;null;;0.00;;
24217;Мулловка, ;Мулловка;null;;0.00;;
24205;Мусультемахи, ;Мусультемахи;null;;0.00;;
24140;Назия, ;Назия;null;;0.00;;
24186;Нижние осельки, ;Нижние осельки;null;;0.00;;
24164;Новолеушковская, ;Новолеушковская;null;;0.00;;
24183;Новороговская, ;Новороговская;null;;0.00;;
24181;Первомайский, ;Первомайский;null;;0.00;;
24158;Пестово, ;Пестово;null;;0.00;;
24149;Петрунино, ;Петрунино;null;;0.00;;
24167;Пильшино, ;Пильшино;null;;0.00;;
24166;Плотниково, ;Плотниково;null;;0.00;;
24147;Понежукай, ;Понежукай;null;;no limit;;
24141;Редкино, ;Редкино;null;;0.00;;
24219;Рождественское, ;Рождественское;null;;0.00;;
24150;Санатория нагорное, ;Санатория нагорное;null;;0.00;;
24193;Сараса, ;Сараса;null;;0.00;;
24180;Северо-Енисейск, ;Северо-Енисейск;null;;0.00;;
24209;Середа, ;Середа;null;;0.00;;
24161;Сланцы, ;Сланцы;null;;0.00;;
24210;Старая Дуваново, ;Старая Дуваново;null;;0.00;;
24171;Старолеушковская, ;Старолеушковская;null;;0.00;;
24182;Староминская, ;Староминская;null;;0.00;;
24191;Тенеево, ;Тенеево;null;;0.00;;
24189;Тимофеево, ;Тимофеево;null;;0.00;;
24176;Троицкое, ;Троицкое;null;;0.00;;
24190;Урма, ;Урма;null;;0.00;;
24188;Черная речка, ;Черная речка;null;;0.00;;
24136;Шайдуровский, ;Шайдуровский;null;;0.00;;
24135;Шафраново, ;Шафраново;null;;0.00;;
16630;17 Лет Октября, Майкопский р-н, Адыгея респ.;17 Лет Октября, Майкопский р-н;Адыгея респ.;;no limit;;385798
16418;Абадзехская, Адыгея респ.;Абадзехская;Адыгея респ.;;no limit;;385774
16713;Адамий, Красногвардейский р-н, Адыгея респ.;Адамий, Красногвардейский р-н;Адыгея респ.;;0.00;;385336
1588;Адыгейск, Адыгея респ.;Адыгейск;Адыгея респ.;;no limit;Adygejsk, Adygeya resp.;385200,385202,385271
16608;Ассоколай, Теучежский р-н, Адыгея респ.;Ассоколай, Теучежский р-н;Адыгея респ.;;0.00;;385231
1590;Афипсип, Адыгея респ.;Афипсип;Адыгея респ.;;0.00;Afipsip, Adygeya resp.;385123
16631;Безводная, Майкопский р-н, Адыгея респ.;Безводная, Майкопский р-н;Адыгея респ.;;no limit;;385784
16439;Белое, Адыгея респ.;Белое;Адыгея респ.;;0.00;;385331
16591;Бжедугхабль, Красногвардейский р-н, Адыгея респ.;Бжедугхабль, Красногвардейский р-н;Адыгея респ.;;no limit;;385327
16444;Блечепсин, Адыгея респ.;Блечепсин;Адыгея респ.;;0.00;;385431
16714;Богурсуков, Красногвардейский р-н, Адыгея респ.;Богурсуков, Красногвардейский р-н;Адыгея респ.;;0.00;;000001
16440;Большесидировское, Адыгея респ.;Большесидировское;Адыгея респ.;;0.00;;385324
16715;Верхненазаровское, Красногвардейский р-н, Адыгея р;Верхненазаровское, Красногвардейский р-н;Адыгея респ.;;0.00;;385334
16731;Веселый, Шовгеновский р-н, Адыгея респ.;Веселый, Шовгеновский р-н;Адыгея респ.;;0.00;;385791
16675;Владимировское, Гиагинский р-н, Адыгея респ.;Владимировское, Гиагинский р-н;Адыгея респ.;;no limit;;000001
16716;Водный, Красногвардейский р-н, Адыгея респ.;Водный, Красногвардейский р-н;Адыгея респ.;;0.00;;000001
16676;Вольно-Веселый, Гиагинский р-н, Адыгея респ.;Вольно-Веселый, Гиагинский р-н;Адыгея респ.;;no limit;;000001
16428;Вольное, Адыгея респ.;Вольное;Адыгея респ.;;0.00;;385436
16632;Вольный, Майкопский р-н, Адыгея респ.;Вольный, Майкопский р-н;Адыгея респ.;;no limit;;385762
16609;Вочепший, Теучежский р-н, Адыгея респ.;Вочепший, Теучежский р-н;Адыгея респ.;;no limit;;385274
16441;Габукай, Адыгея респ.;Габукай;Адыгея респ.;;no limit;;385324
16633;Гавердовский, Майкопский р-н, Адыгея респ.;Гавердовский, Майкопский р-н;Адыгея респ.;;no limit;;385077
16677;Гавриловский, Гиагинский р-н, Адыгея респ.;Гавриловский, Гиагинский р-н;Адыгея респ.;;no limit;;000001
